61,2020-01-02,12:35,5,Балакирев Максим,Бонищук Тарас,3,0,1,0,12,10,11,9,11,3,0,0,0,0
62,2020-01-02,13:10,4,Бонищук Тарас,Горелов Владислав,0,3,0,1,4,11,8,11,6,11,0,0,0,0
63,2020-01-02,13:10,5,Малеев Юрий,Балакирев Максим,0,3,0,1,7,11,3,11,7,11,0,0,0,0
64,2020-01-02,13:45,4,Гайнюк Владимир,Кучер Давид,1,3,0,1,8,11,6,11,11,4,6,11,0,0
65,2020-01-02,13:45,5,Перетятько Андрей,Комаров Александр,3,1,1,0,13,11,9,11,11,6,0,0,0,0
66,2020-01-02,14:20,4,Горелов Владислав,Комаров Александр,3,1,1,0,8,11,12,10,11,8,11,5,0,0
67,2020-01-02,14:20,5,Кучер Давид,Перетятько Андрей,3,2,1,0,8,11,3,11,11,9,11,9,11,6
68,2020-01-02,14:55,4,Балакирев Максим,Гайнюк Владимир,2,3,0,1,5,11,12,10,13,15,11,6,11,13
69,2020-01-02,14:55,5,Бонищук Тарас,Малеев Юрий,3,2,1,0,11,5,11,13,13,11,9,11,13,11
70,2020-01-02,15:30,4,Малеев Юрий,Горелов Владислав,1,3,0,1,11,9,4,11,6,11,2,11,0,0
71,2020-01-02,15:30,5,Гайнюк Владимир,Бонищук Тарас,3,0,1,0,12,10,11,6,11,4,0,0,0,0
72,2020-01-02,16:05,4,Перетятько Андрей,Балакирев Максим,3,2,1,0,11,9,5,11,9,11,11,5,11,9
73,2020-01-02,16:05,5,Комаров Александр,Кучер Давид,1,3,0,1,6,11,12,10,8,11,12,14,0,0
74,2020-01-02,17:20,1,Хорольский Виталий,Марченко Денис,0,3,0,1,7,11,9,11,6,11,0,0,0,0
75,2020-01-02,17:20,2,Каленик Сергей,Старски Антон,3,1,1,0,11,7,11,13,11,3,11,5,0,0
76,2020-01-02,17:55,1,Родин Алексей,Марченко Денис,0,3,0,1,3,11,3,11,9,11,0,0,0,0
77,2020-01-02,17:55,2,Хорольский Виталий,Каленик Сергей,0,3,0,1,8,11,6,11,8,11,0,0,0,0
78,2020-01-02,18:30,1,Родин Алексей,Старски Антон,3,2,1,0,8,11,4,11,11,6,11,6,11,8
79,2020-01-02,18:30,2,Каленик Сергей,Бурдаков Андрей,3,1,1,0,6,11,11,4,11,8,11,6,0,0
80,2020-01-02,19:05,1,Хорольский Виталий,Родин Алексей,1,3,0,1,9,11,7,11,9,11,0,0,0,0
81,2020-01-02,19:05,2,Бурдаков Андрей,Старски Антон,0,3,0,1,13,15,6,11,8,11,0,0,0,0
